"Symbol","Range","Timestamp"
"BLUEBLENDS","0.050000000000000044","29-Jan-20"
"BLUEDART","182.0","29-Jan-20"
"BLUESTARCO","55.5","29-Jan-20"
"BODALCHEM","1.5999999999999943","29-Jan-20"
"BOHRA","0.0","29-Jan-20"
"BOMDYEING","7.200000000000003","29-Jan-20"
"BOROSIL","6.300000000000011","29-Jan-20"
"BOSCHLTD","221.5","29-Jan-20"
"BPCL","10.25","29-Jan-20"
"BPL","0.5","29-Jan-20"
"BRFL","0.25","29-Jan-20"
"BRIGADE","7.0","29-Jan-20"
"BRITANNIA","55.44999999999982","29-Jan-20"
"BRITANNIA","0.3200000000000003","29-Jan-20"
"BRNL","5.400000000000006","29-Jan-20"
"BROOKS","2.6500000000000057","29-Jan-20"
"BSE","8.700000000000045","29-Jan-20"
"BSELINFRA","0.050000000000000044","29-Jan-20"
"BSHSL","2.5","29-Jan-20"
"BSL","2.3500000000000014","29-Jan-20"
"BSLGOLDETF","94.69999999999982","29-Jan-20"
"BSOFT","1.2000000000000028","29-Jan-20"
"BURNPUR","0.10000000000000009","29-Jan-20"
"BUTTERFLY","13.0","29-Jan-20"
"BVCL","0.20000000000000107","29-Jan-20"
"BYKE","1.3999999999999986","29-Jan-20"
"CADILAHC","4.850000000000023","29-Jan-20"
"CADSYS","0.0","29-Jan-20"
"CALSOFT","1.049999999999999","29-Jan-20"
"CAMLINFINE","4.6000000000000085","29-Jan-20"
"CANBK","4.349999999999994","29-Jan-20"
"CANDC","0.20000000000000018","29-Jan-20"
"CANFINHOME","23.150000000000034","29-Jan-20"
"CANTABIL","8.550000000000011","29-Jan-20"
"CAPACITE","5.599999999999994","29-Jan-20"
"CAPLIPOINT","7.0","29-Jan-20"
"CAPTRUST","12.949999999999989","29-Jan-20"
"CARBORUNIV","7.899999999999977","29-Jan-20"
"CAREERP","4.900000000000006","29-Jan-20"
"CARERATING","16.899999999999977","29-Jan-20"
"CASTEXTECH","0.050000000000000044","29-Jan-20"
"CASTROLIND","3.0999999999999943","29-Jan-20"
"CCHHL","0.20000000000000018","29-Jan-20"
"CCL","19.650000000000006","29-Jan-20"
"CDSL","5.800000000000011","29-Jan-20"
"CEATLTD","13.799999999999955","29-Jan-20"
"CEBBCO","0.9000000000000004","29-Jan-20"
"CELEBRITY","0.25","29-Jan-20"
"CELESTIAL","0.04999999999999982","29-Jan-20"
"CENTENKA","6.449999999999989","29-Jan-20"
"CENTEXT","0.15000000000000036","29-Jan-20"
"CENTRALBK","1.0","29-Jan-20"
"CENTRUM","1.2999999999999972","29-Jan-20"
"CENTUM","19.44999999999999","29-Jan-20"
"CENTURYPLY","3.4000000000000057","29-Jan-20"
"CENTURYTEX","22.450000000000045","29-Jan-20"
"CERA","19.5","29-Jan-20"
"CEREBRAINT","0.0","29-Jan-20"
"CESC","11.600000000000023","29-Jan-20"
"CESCVENT","9.050000000000011","29-Jan-20"
"CGCL","6.849999999999994","29-Jan-20"
"CGPOWER","0.5","29-Jan-20"
"CHALET","6.050000000000011","29-Jan-20"
"CHAMBLFERT","6.649999999999977","29-Jan-20"
"CHEMBOND","12.449999999999989","29-Jan-20"
"CHEMFAB","9.799999999999983","29-Jan-20"
"CHENNPETRO","6.0","29-Jan-20"
"CHOLAFIN","9.75","29-Jan-20"
"CHOLAHLDNG","22.950000000000045","29-Jan-20"
"CHROMATIC","0.09999999999999998","29-Jan-20"
"CIGNITITEC","8.900000000000034","29-Jan-20"
"CIMMCO","1.75","29-Jan-20"
"CINELINE","1.5","29-Jan-20"
"CINEVISTA","0.40000000000000036","29-Jan-20"
"CIPLA","7.0499999999999545","29-Jan-20"
"CKFSL","0.04999999999999999","29-Jan-20"
"CLEDUCATE","4.549999999999997","29-Jan-20"
"CLNINDIA","8.25","29-Jan-20"
"CMICABLES","2.6000000000000014","29-Jan-20"
"CMMIPL","0.0","29-Jan-20"
"CNOVAPETRO","0.40000000000000036","29-Jan-20"
"COALINDIA","5.0","29-Jan-20"
"COCHINSHIP","15.949999999999989","29-Jan-20"
"COFFEEDAY","2.5","29-Jan-20"
"COLPAL","22.75","29-Jan-20"
"COMPINFO","1.8999999999999986","29-Jan-20"
"COMPUSOFT","0.20000000000000018","29-Jan-20"
"CONCOR","11.449999999999932","29-Jan-20"
"CONFIPET","3.6000000000000014","29-Jan-20"
"CONSOFINVT","1.0999999999999943","29-Jan-20"
"CONTI","2.200000000000003","29-Jan-20"
"CONTROLPR","24.30000000000001","29-Jan-20"
"CORALFINAC","0.40000000000000036","29-Jan-20"
"CORDSCABLE","5.299999999999997","29-Jan-20"
"COROMANDEL","11.700000000000045","29-Jan-20"
"CORPBANK","0.25","29-Jan-20"
"COSMOFILMS","4.75","29-Jan-20"
"COUNCODOS","0.09999999999999987","29-Jan-20"
"COX&KINGS","0.050000000000000044","29-Jan-20"
"CPSEETF","0.3000000000000007","29-Jan-20"
"CREATIVE","7.799999999999997","29-Jan-20"
"CREATIVEYE","0.0","29-Jan-20"
"CREDITACC","31.399999999999977","29-Jan-20"
"CREST","8.75","29-Jan-20"
"CRISIL","63.799999999999955","29-Jan-20"
"CROMPTON","8.300000000000011","29-Jan-20"
"CSBBANK","7.0","29-Jan-20"
"CTE","1.6499999999999986","29-Jan-20"
"CUB","7.25","29-Jan-20"
"CUBEXTUB","0.1999999999999993","29-Jan-20"
"CUMMINSIND","58.799999999999955","29-Jan-20"
"CUPID","8.0","29-Jan-20"
"CYBERMEDIA","0.0","29-Jan-20"
"CYBERTECH","1.1000000000000014","29-Jan-20"
"CYIENT","11.850000000000023","29-Jan-20"
"DAAWAT","1.0499999999999972","29-Jan-20"
"DABUR","6.800000000000011","29-Jan-20"
"DALBHARAT","58.950000000000045","29-Jan-20"
"DALMIASUG","4.299999999999997","29-Jan-20"
"DAMODARIND","1.3500000000000014","29-Jan-20"
"DANGEE","0.0","29-Jan-20"
"DATAMATICS","3.700000000000003","29-Jan-20"
"DBCORP","2.549999999999983","29-Jan-20"
"DBL","9.899999999999977","29-Jan-20"
"DBREALTY","0.5499999999999989","29-Jan-20"
"DBSTOCKBRO","0.0","29-Jan-20"
"DCAL","5.400000000000006","29-Jan-20"
"DCBBANK","7.0","29-Jan-20"
"DCM","1.75","29-Jan-20"
"DCMFINSERV","0.0","29-Jan-20"
"DCMNVL","2.4000000000000057","29-Jan-20"
"DCMSHRIRAM","19.049999999999955","29-Jan-20"
"DCW","0.6000000000000014","29-Jan-20"
"DECCANCE","10.5","29-Jan-20"
"DEEPAKFERT","6.3500000000000085","29-Jan-20"
"DEEPAKNTR","7.349999999999966","29-Jan-20"
"DEEPIND","3.049999999999997","29-Jan-20"
"DELTACORP","5.050000000000011","29-Jan-20"
